Date_time,us,LReactor,C_g,C_Eff,C_CD,T_CD,C_D_g,C_D_Eff,C_PAR
09/11/2021 07:41:18,0,6.08069,-0.0196173,0,0.335771,0,13.8806,1.84672,0
09/11/2021 08:46:31,0,6.08069,-0.0707584,0,0.332477,0,13.7809,1.83346,0
09/11/2021 09:51:44,0,6.08069,-0.0805186,0,0.327708,0,13.6356,1.81413,0
09/11/2021 10:56:57,0,6.08069,-0.0539077,0,0.321882,0,13.4588,1.79061,0
09/11/2021 12:02:10,0,6.08069,-0.00424029,-0.0134816,0.319062,0,-0.0821193,-0.210716,472.57
09/11/2021 13:07:23,0,6.08069,0.908837,2.43488,0.352055,0,0.920893,1.15353,472.57
09/11/2021 14:12:36,0,6.08069,0.83281,2.2317,0.382552,0,1.84788,1.53039,472.57
09/11/2021 15:17:49,0,4.85712,0.750233,2.02265,0.41172,0,2.69501,1.66766,472.57
09/11/2021 16:23:02,0,6.28636,0.979934,2.5695,0.338414,0,3.33354,1.64605,472.57
09/11/2021 17:28:15,0,6.04373,0.983777,2.64882,0.372788,0,4.37296,1.7964,472.57
09/11/2021 18:33:28,0,6.04373,0.944614,2.54377,0.406919,0,5.40489,1.901,472.57
09/11/2021 19:38:41,0,6.04373,0.94488,2.51769,0.440188,0,6.41023,1.971,472.57
09/11/2021 20:43:54,0,6.04373,0.851183,2.14089,0.472703,0,7.39278,2.01955,472.57
09/11/2021 21:49:07,0,6.04373,0.737154,2.29789,0.505201,0,8.37506,2.05784,472.57
09/11/2021 22:54:20,0,6.04373,0.873552,2.33153,0.537223,0,9.3425,2.08592,472.57
09/11/2021 23:59:33,0,6.04373,0.881424,2.32965,0.568659,0,10.2925,2.1059,472.57
10/11/2021 01:04:46,0,6.04373,0.8823,2.3837,0.599575,0,11.2267,2.11962,472.57
10/11/2021 02:09:59,0,6.04373,0.839025,2.29394,0.630011,0,12.1464,2.12922,472.57
10/11/2021 03:15:12,0,4.81598,0.778513,2.07623,0.658917,0,13.0008,2.1263,472.57
10/11/2021 04:20:25,0,6.24713,0.765439,2.06373,0.526083,0,13.5644,2.07951,472.57
10/11/2021 05:25:38,0,5.98122,0.59182,2.1564,0.559127,0,14.5561,2.09999,472.57
10/11/2021 06:30:51,0,5.98122,0.899459,2.44314,0.591904,0,15.5363,2.11634,472.57
10/11/2021 07:36:04,0,5.98122,-0.00274648,0,0.606627,0,15.9766,2.12339,0
10/11/2021 08:41:17,0,5.98122,-0.0149743,0,0.603547,0,15.8845,2.11115,0
10/11/2021 09:46:30,0,5.98122,-0.0299262,0,0.59922,0,15.7534,2.09373,0
10/11/2021 10:51:43,0,5.98122,-0.0515171,0,0.593605,0,15.5856,2.07143,0
10/11/2021 11:56:56,0,5.98122,-0.04311,-0.0481493,0.590222,0,-0.0676507,-0.189617,472.57
10/11/2021 13:02:09,0,5.98122,1.00198,2.67329,0.619937,0,0.823246,1.07563,472.57
10/11/2021 14:07:22,0,5.98122,0.93968,2.4496,0.652371,0,1.79098,1.52481,472.57
10/11/2021 15:12:35,0,4.75184,0.78284,2.02938,0.682617,0,2.67978,1.69218,472.57
10/11/2021 16:17:48,0,6.1799,0.934555,2.54545,0.543147,0,3.24432,1.6285,472.57
10/11/2021 17:23:01,0,5.90521,0.945524,2.53918,0.577333,0,4.25923,1.77368,472.57
10/11/2021 18:28:14,0,5.90521,0.937792,2.56695,0.611879,0,5.27924,1.8787,472.57
10/11/2021 19:33:27,0,5.90521,0.969951,2.48787,0.646379,0,6.29778,1.95641,472.57
10/11/2021 20:38:40,0,5.90521,0.946264,2.51123,0.680021,0,7.2912,2.0096,472.57
10/11/2021 21:43:53,0,5.90521,0.919635,2.49839,0.71297,0,8.26395,2.04717,472.57
10/11/2021 22:49:06,0,5.90521,0.947953,2.45319,0.746044,0,9.24061,2.07846,472.57
10/11/2021 23:54:19,0,5.90521,0.83552,2.33066,0.778334,0,10.1927,2.09957,472.57
11/11/2021 00:59:32,0,5.90521,0.95386,2.419,0.810925,0,11.1562,2.11943,472.57
11/11/2021 02:04:45,0,5.90521,0.867877,2.36224,0.842636,0,12.0906,2.13152,472.57
11/11/2021 03:09:58,0,4.67314,0.822956,1.5643,0.873024,0,12.9718,2.13323,472.57
11/11/2021 04:15:11,0,6.09898,0.889975,2.44609,0.685955,0,13.4912,2.07853,472.57
11/11/2021 05:20:24,0,5.81875,0.917075,2.4962,0.718692,0,14.4507,2.09458,472.57
11/11/2021 06:25:37,0,5.81875,0.851502,2.35391,0.752182,0,15.4251,2.11073,472.57
11/11/2021 07:30:50,0,5.81875,-0.00798138,0,0.769939,0,15.9417,2.11876,0
11/11/2021 08:36:03,0,5.81875,-0.0159493,0,0.767423,0,15.8684,2.10902,0
11/11/2021 09:41:16,0,5.81875,-0.0189172,0,0.763643,0,15.7569,2.0942,0
11/11/2021 10:46:29,0,5.81875,-0.0374184,0,0.758662,0,15.6117,2.0749,0
11/11/2021 11:51:42,0,5.81875,-0.0348516,-0.0872973,0.754897,0,-0.0661439,-0.204238,472.57
11/11/2021 12:56:55,0,5.81875,0.97015,2.62035,0.783198,0,0.75724,1.03309,472.57
11/11/2021 14:02:08,0,5.81875,0.884801,2.42836,0.816252,0,1.7185,1.50525,472.57
11/11/2021 15:07:21,0,4.59583,0.297656,1.02304,0.847403,0,2.61764,1.68801,472.57
11/11/2021 16:12:34,0,6.02077,1.00366,2.64789,0.665558,0,3.18204,1.62406,472.57
11/11/2021 17:17:47,0,5.75319,0.978742,2.61048,0.70075,0,4.20454,1.77525,472.57
11/11/2021 18:23:00,0,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
11/11/2021 19:28:13,0,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
11/11/2021 20:33:26,0,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
11/11/2021 21:38:39,0,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
11/11/2021 22:43:52,0,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty
11/11/2021 23:49:05,0,5.75319,0.952775,2.43728,0.750969,0,5.64913,1.91814,472.57
12/11/2021 00:54:18,0,5.75319,0.919007,2.44456,0.78488,0,6.62461,1.97547,472.57
12/11/2021 01:59:31,0,5.75319,0.962888,2.53854,0.818515,0,7.59217,2.01782,472.57
12/11/2021 03:04:44,0,5.0998,0.471844,1.66942,0.850274,0,8.50267,2.03843,472.57
12/11/2021 04:09:57,0,4.5152,0.755562,2.02592,0.887501,0,9.34394,2.04038,472.57
12/11/2021 05:15:10,0,4.5152,0.795057,2.00737,0.92461,0,10.1817,2.04087,472.57
12/11/2021 06:20:23,0,4.5152,0.772833,2.00835,0.960943,0,11.002,2.03844,472.57
12/11/2021 07:25:36,0,4.5152,-0.00375672,0,0.983968,0,11.5203,2.0404,0
