Date_Time,LReactor,C_g,C_Eff,C_CD,T_CD,C_D_g,C_D_Eff,C_PAR
15/12/2021 16:55:48,2.94058,-0.00853989,-0.818273,-0.0150859,0,0.112643,2.62089,38.4
15/12/2021 17:28:24,2.94058,-0.0108298,-1.1398,-0.014678,0,0.118641,1.99131,38.4
15/12/2021 18:01:00,2.94058,0.0920409,2.85523,-0.0133852,0,0.137649,1.8059,38.4
15/12/2021 18:33:36,2.94058,0.115374,2.12423,-0.0137453,0,0.132354,1.42588,38.4
15/12/2021 19:06:12,2.94058,0.00503079,0.560808,-0.0123179,0,0.153341,1.40135,38.4
15/12/2021 19:38:48,2.94058,-4.8777e-05,-0.0129891,-0.0134486,0,0.136717,1.08484,38.4
15/12/2021 20:11:24,2.94058,-9.69074e-06,-0.0016841,-0.013001,0,0.143298,1.00472,38.4
15/12/2021 20:44:00,2.94058,-1.69489e-05,-0.000258035,-0.0125271,0,0.150265,0.943473,38.4
15/12/2021 21:16:36,2.94058,5.9403e-05,0.0194179,-0.0119905,0,0.158155,0.899281,38.4
15/12/2021 21:49:12,2.94058,0.000443014,0.10313,-0.0115347,0,0.164856,0.856531,38.4
15/12/2021 22:21:48,2.94058,0.0706548,2.07596,-0.0113089,0,0.168176,0.804395,38.4
15/12/2021 22:54:24,2.94058,0.0266164,-0.331931,-0.0118334,0,0.160465,0.711048,38.4
15/12/2021 23:27:00,2.94058,-0.0222604,-2.87492,-0.0117686,0,0.161416,0.666137,38.4
15/12/2021 23:59:36,2.94058,-0.000453927,-0.0256938,-0.00955006,0,0.194036,0.74941,38.4
16/12/2021 00:32:12,2.94058,-0.00452696,-0.604102,-0.0108439,0,0.175013,0.635213,38.4
16/12/2021 01:04:48,2.94058,0.106202,2.35986,-0.0111699,0,0.170219,0.582702,38.4
16/12/2021 01:37:24,2.94058,0.00300919,0.48457,-0.00980382,0,0.190305,0.616427,38.4
16/12/2021 02:10:00,2.94058,0.0138274,1.23469,-0.00932766,0,0.197306,0.606415,38.4
16/12/2021 02:42:36,2.94058,0.00560558,0.721735,-0.00945655,0,0.195411,0.571434,38.4
16/12/2021 03:15:12,2.94058,1.8346e-05,0.0203546,-0.00893105,0,0.203137,0.566526,38.4
16/12/2021 03:47:48,2.94058,0.00756704,0.796387,-0.00847396,0,0.209858,0.559374,38.4
16/12/2021 04:20:24,2.94058,0.0105771,0.130473,-0.00885396,0,0.204271,0.521408,38.4
16/12/2021 04:53:00,2.94058,-0.0375644,-0.243099,-0.00849869,0,0.209494,0.512951,38.4
16/12/2021 05:25:36,2.94058,-0.040812,-1.22585,-0.00828302,0,0.212554,0.500113,38.4
16/12/2021 05:58:12,2.94058,-0.00237394,-0.187937,-0.00826968,0,0.212861,0.482058,38.4
16/12/2021 06:30:48,2.94058,0.175851,3.57242,-0.00779935,0,0.219777,0.479639,38.4
16/12/2021 07:03:24,2.94058,0.0640511,0.0,-0.00656123,0,0.23798,0.503005,0.0
16/12/2021 07:36:00,2.94058,-0.000512354,0.0,-0.00773192,0,0.220768,0.466624,0.0
16/12/2021 08:08:36,2.94058,0.0129276,0.0,-0.00722559,0,0.228213,0.482359,0.0
16/12/2021 08:41:12,2.94058,0.00232392,0.0,-0.00591385,0,0.247499,0.523123,0.0
16/12/2021 09:13:48,2.94058,-5.25923e-06,0.0,-0.00716671,0,0.229078,0.484189,0.0
16/12/2021 09:46:24,2.94058,0.0181101,0.0,-0.00500935,0,0.260798,0.551232,0.0
16/12/2021 10:19:00,2.73195,0.0523905,0.0,0.000521176,0,0.335091,0.708262,0.0
16/12/2021 10:51:36,2.73195,0.000844995,0.0,0.0001716,0,0.330316,0.698169,0.0
16/12/2021 11:24:12,2.73195,1.13526e-06,0.00178043,0.000672806,0,0.0089109,0,38.4
16/12/2021 11:56:48,2.73195,-0.0726772,-1.06405,4.0171e-05,0,0.000159182,0.00550849,38.4
16/12/2021 12:29:24,2.73195,-0.0125139,-0.439546,0.000322118,0,0.00401018,0.0881163,38.4
16/12/2021 13:02:00,2.73195,0.0756667,2.3594,0.000631851,0,0.00835146,0.134366,38.4
16/12/2021 13:34:36,2.73195,0.0299339,-0.0369037,0.000248494,0,0.00311489,0.0395513,38.4
16/12/2021 14:07:12,2.73195,0.0138118,1.31183,0.00176374,0,0.0238128,0.249722,38.4
16/12/2021 14:39:48,2.73195,0.0587807,2.07043,0.00136489,0,0.0183646,0.164031,38.4
16/12/2021 15:12:24,2.73195,0.00189129,0.350766,0.00202965,0,0.0274451,0.213482,38.4
16/12/2021 15:45:00,2.73195,0.00551971,0.19539,0.00160974,0,0.0217092,0.149509,38.4
